연번,자치구명,관리번호,도로(가로)명,설치위치,           설치지점,     수거 쓰레기 종류,              형태,설치연도
79,영등포구,가로3-1,서울특별시 영등포구 신길로 252,영보빌딩 앞 횡단보도,⑥ 횡단보도 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
80,영등포구,가로3-1,서울특별시 영등포구 신길로 252,영보빌딩 앞 횡단보도,⑥ 횡단보도 입구,② 재활용쓰레기,① 일반 사각쓰레기통,2019
81,영등포구,가로3-10,서울특별시 영등포구 신길로 89,백악관웨딩홀 버스정류장(19-241),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
82,영등포구,가로3-11,서울특별시 영등포구 신길로 89,남서울ⓐ 버스정류장(19-249),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
83,영등포구,가로3-12,서울특별시 영등포구 도신로 100 ,우성ⓐ 5차 입구,"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
84,영등포구,가로3-13,서울특별시 영등포구 가마산로 496,신풍시장 버스정류장(19-878),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
85,영등포구,가로3-14,서울특별시 영등포구 신길로 142-1,사러가 쇼핑센터 버스정류장 (19-239),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
86,영등포구,가로3-15,서울특별시 영등포구 신길로 156,사러가 사거리 횡단보도,⑥ 횡단보도 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
87,영등포구,가로3-16,서울특별시 영등포구 신길로 155,사러가 사거리 횡단보도,⑥ 횡단보도 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
88,영등포구,가로3-17,서울특별시 영등포구 영등포로 422,대방역 버스중앙차로(19-015),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
89,영등포구,가로3-3,서울특별시 영등포구 도신로 228,대신시장 버스정류장(19-228),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
90,영등포구,가로3-3,서울특별시 영등포구 도신로 228,대신시장 버스정류장(19-228),"① 정류장(버스, 택시 등)",② 재활용쓰레기,① 일반 사각쓰레기통,2019
91,영등포구,가로3-4,서울특별시 영등포구 영등포로 398,횡단보도,⑥ 횡단보도 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
92,영등포구,가로3-4,서울특별시 영등포구 영등포로 398,횡단보도,⑥ 횡단보도 입구,② 재활용쓰레기,① 일반 사각쓰레기통,2019
